 INFO  Accepting connections at http://localhost:3000
 HTTP  22/09/2026 20:00:53 ::1 GET /viewer
 HTTP  22/09/2026 20:00:53 ::1 Returned 304 in 17 ms
 HTTP  22/09/2026 20:00:53 ::1 GET /Markets/Components/1.%20Claude%20Opus%205%20Low
 HTTP  22/09/2026 20:00:53 ::1 Returned 304 in 3 ms
 HTTP  22/09/2026 20:01:25 ::1 GET /favorites
 HTTP  22/09/2026 20:01:25 ::1 Returned 200 in 4 ms
 HTTP  22/09/2026 20:01:27 ::1 GET /Markets/Components/1.%20Claude%20Opus%205%20Low
 HTTP  22/09/2026 20:01:27 ::1 Returned 304 in 1 ms
 HTTP  22/09/2026 20:01:30 ::1 GET /Portfolio/Components/1.%20Claude%20Opus%205%20Medium
 HTTP  22/09/2026 20:01:30 ::1 Returned 304 in 2 ms
